age,balance,created_date,credit_score,gender,income,last_login_date,marital_status,region,transaction_amount
30 - 40,4159.53,2024-02-27,514,M,51213.37,2024-07-25,Married,Other,206.31
60 - 70,9134.92,2024-10-29,774,F,20158.54,2024-09-23,Single,Other,160.55
30 - 40,12627.64,2024-11-21,535,M,77709.63,2024-07-09,Married,Other,194.98
40 - 50,11345.58,2024-03-13,348,M,32115.73,2024-09-13,Divorced,Other,639.99
60 - 70,16717.25,2024-01-13,717,M,35994.47,2024-10-18,Married,South,47.04
70 - 80,16464.71,2024-01-12,788,M,50998.56,2024-08-21,Married,Other,283.14
20 - 30,20148.36,2024-07-10,430,M,24775.89,2024-08-09,Single,Central,346.84
70 - 80,24323.94,2024-08-03,693,M,43755.35,2024-10-30,Married,Other,55.5
20 - 30,11783.0,2023-12-27,546,F,29263.0,2024-10-01,Single,Other,98.01
60 - 70,26820.02,2024-07-22,437,M,57732.58,2024-09-08,Divorced,Other,147.53
40 - 50,12731.62,2024-05-30,581,F,38363.46,2024-10-12,Married,Other,343.52
30 - 40,15704.4,2024-08-21,510,F,68028.25,2024-07-08,UNKNOWN,South,470.95
70 - 80,18762.95,2024-11-09,505,M,37169.31,2024-07-12,Married,Midlands,108.05
70 - 80,3345.93,2024-08-17,560,F,44871.6,2024-11-09,Divorced,Midlands,89.18
60 - 70,26217.72,2024-07-10,381,M,45164.44,2024-12-28,Single,Other,206.06
50 - 60,14014.41,2024-06-12,467,M,29124.24,2024-08-05,UNKNOWN,Other,37.72
30 - 40,22686.88,2024-11-19,445,F,60103.87,2024-11-07,Single,Other,232.59
70 - 80,1264.81,2024-09-09,347,F,28192.02,2024-08-27,Married,Other,211.85
30 - 40,16322.68,2024-04-28,329,M,70145.02,2024-08-17,Married,Southeast,576.07
70 - 80,15886.12,2024-03-13,682,F,35138.28,2024-08-30,Married,Midlands,383.41
30 - 40,23405.23,2024-02-01,640,M,41319.88,2024-07-19,Divorced,Other,209.54
20 - 30,10349.49,2024-05-02,599,M,66849.01,2024-10-27,Married,Central,124.54
40 - 50,24158.28,2024-05-17,674,M,53995.75,2024-07-24,Married,Other,412.52
70 - 80,16347.55,2024-07-31,532,F,48874.57,2024-08-02,Single,Other,8.28
30 - 40,11257.05,2024-08-05,302,M,108051.59,2024-10-11,Divorced,West,112.55
20 - 30,12308.82,2024-03-10,728,F,46656.09,2024-08-06,Married,Other,43.75
70 - 80,5826.03,2024-10-01,576,F,32743.86,2024-08-30,Single,Other,315.12
